Env,Agent,Down,Dist,Field,Top_Choice,Top_Prob,Pass_Prob,Run_Prob,Punt_Prob,FG_Prob
nfl-bucketed,ppo,2,Short,Opp 27,EMPTY,0.933,0.95,0.049,0.0,0.0
nfl-bucketed,ppo,2,Short,Opp 22,EMPTY,0.938,0.983,0.017,0.0,0.0
nfl-bucketed,ppo,2,Short,Opp 17,EMPTY,0.941,0.993,0.007,0.0,0.0
nfl-bucketed,ppo,2,Short,Opp 12,EMPTY,0.941,0.997,0.003,0.0,0.0
nfl-bucketed,ppo,2,Short,Opp 7,EMPTY,0.94,0.999,0.001,0.0,0.0
nfl-bucketed,ppo,2,Short,Opp 2,EMPTY,0.94,0.999,0.001,0.0,0.0
nfl-bucketed,ppo,2,Med,Own 3,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,Med,Own 8,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,Med,Own 13,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,Med,Own 18,UNDER CENTER,1.0,0.998,0.002,0.0,0.0
nfl-bucketed,ppo,2,Med,Own 23,UNDER CENTER,0.996,0.988,0.012,0.0,0.0
nfl-bucketed,ppo,2,Med,Own 28,UNDER CENTER,0.928,0.9,0.1,0.0,0.0
nfl-bucketed,ppo,2,Med,Own 33,UNDER CENTER,0.372,0.567,0.433,0.0,0.0
nfl-bucketed,ppo,2,Med,Own 38,SINGLEBACK,0.459,0.35,0.65,0.0,0.0
nfl-bucketed,ppo,2,Med,Own 43,I_FORM,0.309,0.338,0.662,0.0,0.0
nfl-bucketed,ppo,2,Med,Own 48,I_FORM,0.593,0.511,0.489,0.0,0.0
nfl-bucketed,ppo,2,Med,Opp 47,I_FORM,0.742,0.76,0.239,0.0,0.0
nfl-bucketed,ppo,2,Med,Opp 42,I_FORM,0.783,0.915,0.085,0.0,0.0
nfl-bucketed,ppo,2,Med,Opp 37,I_FORM,0.786,0.971,0.029,0.0,0.0
nfl-bucketed,ppo,2,Med,Opp 32,I_FORM,0.77,0.988,0.011,0.0,0.0
nfl-bucketed,ppo,2,Med,Opp 27,I_FORM,0.76,0.995,0.004,0.0,0.0
nfl-bucketed,ppo,2,Med,Opp 22,I_FORM,0.75,0.998,0.002,0.0,0.0
nfl-bucketed,ppo,2,Med,Opp 17,I_FORM,0.737,0.999,0.001,0.0,0.0
nfl-bucketed,ppo,2,Med,Opp 12,I_FORM,0.717,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,Med,Opp 7,I_FORM,0.697,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,Med,Opp 2,I_FORM,0.687,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,Long,Own 3,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,Long,Own 8,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,Long,Own 13,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,Long,Own 18,UNDER CENTER,0.999,0.999,0.0,0.0,0.0
nfl-bucketed,ppo,2,Long,Own 23,UNDER CENTER,0.994,0.999,0.0,0.0,0.0
nfl-bucketed,ppo,2,Long,Own 28,UNDER CENTER,0.926,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,Long,Own 33,UNDER CENTER,0.504,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,Long,Own 38,SHOTGUN,0.472,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,Long,Own 43,SHOTGUN,0.496,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,Long,Own 48,I_FORM,0.552,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,Long,Opp 47,I_FORM,0.763,0.999,0.001,0.0,0.0
nfl-bucketed,ppo,2,Long,Opp 42,I_FORM,0.863,0.999,0.001,0.0,0.0
nfl-bucketed,ppo,2,Long,Opp 37,I_FORM,0.906,0.999,0.0,0.0,0.0
nfl-bucketed,ppo,2,Long,Opp 32,I_FORM,0.932,0.999,0.0,0.0,0.0
nfl-bucketed,ppo,2,Long,Opp 27,I_FORM,0.945,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,Long,Opp 22,I_FORM,0.95,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,Long,Opp 17,I_FORM,0.952,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,Long,Opp 12,I_FORM,0.947,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,Long,Opp 7,I_FORM,0.939,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,Long,Opp 2,I_FORM,0.931,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,V.Long,Own 3,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,V.Long,Own 8,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,V.Long,Own 13,UNDER CENTER,1.0,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,V.Long,Own 18,UNDER CENTER,0.996,0.999,0.0,0.0,0.0
nfl-bucketed,ppo,2,V.Long,Own 23,UNDER CENTER,0.961,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,V.Long,Own 28,UNDER CENTER,0.728,0.999,0.0,0.0,0.0
nfl-bucketed,ppo,2,V.Long,Own 33,SHOTGUN,0.733,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,V.Long,Own 38,SHOTGUN,0.906,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,V.Long,Own 43,SHOTGUN,0.897,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,V.Long,Own 48,SHOTGUN,0.772,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,V.Long,Opp 47,SHOTGUN,0.558,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,V.Long,Opp 42,I_FORM,0.692,0.999,0.0,0.0,0.0
nfl-bucketed,ppo,2,V.Long,Opp 37,I_FORM,0.821,0.999,0.0,0.0,0.0
nfl-bucketed,ppo,2,V.Long,Opp 32,I_FORM,0.879,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,V.Long,Opp 27,I_FORM,0.912,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,V.Long,Opp 22,I_FORM,0.938,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,V.Long,Opp 17,I_FORM,0.955,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,V.Long,Opp 12,I_FORM,0.965,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,V.Long,Opp 7,I_FORM,0.97,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,2,V.Long,Opp 2,I_FORM,0.973,1.0,0.0,0.0,0.0
nfl-bucketed,ppo,3,Short,Own 3,UNDER CENTER,1.0,0.012,0.988,0.0,0.0
nfl-bucketed,ppo,3,Short,Own 8,UNDER CENTER,1.0,0.003,0.997,0.0,0.0
nfl-bucketed,ppo,3,Short,Own 13,UNDER CENTER,1.0,0.001,0.999,0.0,0.0
nfl-bucketed,ppo,3,Short,Own 18,UNDER CENTER,1.0,0.0,1.0,0.0,0.0
nfl-bucketed,ppo,3,Short,Own 23,UNDER CENTER,1.0,0.0,1.0,0.0,0.0
nfl-bucketed,ppo,3,Short,Own 28,UNDER CENTER,0.998,0.0,0.998,0.0,0.0
nfl-bucketed,ppo,3,Short,Own 33,UNDER CENTER,0.983,0.0,1.0,0.0,0.0
nfl-bucketed,ppo,3,Short,Own 38,UNDER CENTER,0.777,0.0,0.999,0.0,0.0
nfl-bucketed,ppo,3,Short,Own 43,SHOTGUN,0.802,0.0,1.0,0.0,0.0
nfl-bucketed,ppo,3,Short,Own 48,SHOTGUN,0.964,0.0,1.0,0.0,0.0
nfl-bucketed,ppo,3,Short,Opp 47,SHOTGUN,0.974,0.001,0.999,0.0,0.0
