# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1768590543.1192245,0,0,0,0.022761616855859756,2.0262742042541504
1,1768590543.122733,3200,-0.018396541476249695,2.0281412601470947,0.022761616855859756,2.0262742042541504
2,1768590574.9992685,6400,-0.008815556764602661,1.777220606803894,0.022761616855859756,2.0262742042541504
3,1768590575.0504384,9600,-0.008815556764602661,1.777220606803894,0.0015232376754283905,1.7166473865509033
4,1768590610.3515253,12800,-0.0173777025192976,1.6372804641723633,0.0015232376754283905,1.7166473865509033
5,1768590610.6246915,16000,-0.0173777025192976,1.6372804641723633,0.010241873562335968,1.6120165586471558
