# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
58,1768578113.251276,185600,-0.08246802538633347,1.9916030168533325,-0.02366187423467636,1.9415792226791382
59,1768578124.7991457,188800,-0.07930780202150345,2.034691333770752,-0.02366187423467636,1.9415792226791382
60,1768578129.6621385,192000,-0.07930780202150345,2.034691333770752,-0.02346900664269924,2.1007649898529053
61,1768578136.4134889,195200,-0.07778798788785934,2.335082530975342,-0.02346900664269924,2.1007649898529053
62,1768578147.9791093,198400,-0.07459662109613419,1.9779753684997559,-0.02346900664269924,2.1007649898529053
63,1768578152.8235662,201600,-0.07459662109613419,1.9779753684997559,-0.024141721427440643,2.063669443130493
64,1768578159.488802,204800,-0.07232722640037537,1.8541768789291382,-0.024141721427440643,2.063669443130493
65,1768578171.0666819,208000,-0.0708240270614624,2.35776948928833,-0.024141721427440643,2.063669443130493
66,1768578175.9572098,211200,-0.0708240270614624,2.35776948928833,-0.023780595511198044,2.095669984817505
67,1768578182.543217,214400,-0.0692940205335617,2.173210382461548,-0.023780595511198044,2.095669984817505
68,1768578193.970413,217600,-0.06654281169176102,1.786971092224121,-0.023780595511198044,2.095669984817505
69,1768578198.8433886,220800,-0.06654281169176102,1.786971092224121,-0.02444455400109291,2.0980746746063232
70,1768578205.4972932,224000,-0.06555034965276718,2.4980673789978027,-0.02444455400109291,2.0980746746063232
71,1768578217.0420747,227200,-0.06354338675737381,2.0480213165283203,-0.02444455400109291,2.0980746746063232
72,1768578221.9083776,230400,-0.06354338675737381,2.0480213165283203,-0.023693855851888657,2.1054203510284424
73,1768578228.6782637,233600,-0.0624198317527771,2.130182981491089,-0.023693855851888657,2.1054203510284424
74,1768578240.2954874,236800,-0.06087338551878929,2.0221333503723145,-0.023693855851888657,2.1054203510284424
75,1768578245.2487972,240000,-0.06087338551878929,2.0221333503723145,-0.022940723225474358,2.1256775856018066
76,1768578251.7748852,243200,-0.06059226393699646,2.087111234664917,-0.022940723225474358,2.1256775856018066
77,1768578263.2959826,246400,-0.05902447924017906,2.228214979171753,-0.022940723225474358,2.1256775856018066
78,1768578268.2923677,249600,-0.05902447924017906,2.228214979171753,-0.022243069484829903,2.1219348907470703
79,1768578274.8881042,252800,-0.05906036123633385,2.206092119216919,-0.022243069484829903,2.1219348907470703
80,1768578286.406055,256000,-0.058296408504247665,2.1666247844696045,-0.022243069484829903,2.1219348907470703
81,1768578291.2768035,259200,-0.058296408504247665,2.1666247844696045,-0.021174266934394836,2.1608128547668457
82,1768578298.0363076,262400,-0.05707086622714996,2.053189277648926,-0.021174266934394836,2.1608128547668457
83,1768578309.6031044,265600,-0.056374676525592804,1.9654345512390137,-0.021174266934394836,2.1608128547668457
84,1768578314.1993415,268800,-0.056374676525592804,1.9654345512390137,-0.02030523121356964,2.0278983116149902
85,1768578321.220692,272000,-0.054996557533741,2.2664449214935303,-0.02030523121356964,2.0278983116149902
86,1768578332.8119593,275200,-0.05354272574186325,2.2034289836883545,-0.02030523121356964,2.0278983116149902
87,1768578337.3402379,278400,-0.05354272574186325,2.2034289836883545,-0.02149277739226818,2.153620719909668
88,1768578344.259985,281600,-0.05164405703544617,2.075160264968872,-0.02149277739226818,2.153620719909668
89,1768578355.7427447,284800,-0.049846138805150986,1.8559722900390625,-0.02149277739226818,2.153620719909668
90,1768578360.3461692,288000,-0.049846138805150986,1.8559722900390625,-0.02184358239173889,2.000575542449951
91,1768578367.2318995,291200,-0.04945223405957222,1.980021595954895,-0.02184358239173889,2.000575542449951
