# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1768429455.2552161,0,-0.03613101318478584,1.642907738685608,0,0
1,1768429500.3215263,3200,-0.06424530595541,0.8758599162101746,0,0
2,1768429509.2149446,6400,-0.06424530595541,0.8758599162101746,0.05712618678808212,1.2934279441833496
3,1768429558.1864479,9600,-0.06651825457811356,1.5314383506774902,0.05712618678808212,1.2934279441833496
4,1768429607.7504435,12800,-0.06822749972343445,1.67807936668396,0.05712618678808212,1.2934279441833496
5,1768429609.8856907,16000,-0.06822749972343445,1.67807936668396,0.05786864832043648,1.5589042901992798
6,1768429708.8035657,19200,-0.06392505019903183,1.7411099672317505,0.05786864832043648,1.5589042901992798
7,1768429818.1354032,22400,-0.06297659128904343,1.5781511068344116,0.05786864832043648,1.5589042901992798
8,1768429822.6584969,25600,-0.06297659128904343,1.5781511068344116,0.05464472249150276,1.637622356414795
9,1768429920.4490893,28800,-0.06800951063632965,1.6451797485351562,0.05464472249150276,1.637622356414795
10,1768429973.7256265,32000,-0.06835371255874634,1.5739959478378296,0.05464472249150276,1.637622356414795
11,1768429980.9377291,35200,-0.06835371255874634,1.5739959478378296,0.05877859890460968,1.575419306755066
12,1768430028.0295606,38400,-0.0729021355509758,1.5690431594848633,0.05877859890460968,1.575419306755066
13,1768430077.5006068,41600,-0.06446123868227005,2.1387405395507812,0.05877859890460968,1.575419306755066
14,1768430079.7163892,44800,-0.06446123868227005,2.1387405395507812,0.05376114696264267,1.821999192237854
15,1768430124.9905047,48000,-0.050340261310338974,2.2123491764068604,0.05376114696264267,1.821999192237854
16,1768430174.8555937,51200,-0.03879856318235397,2.2464866638183594,0.05376114696264267,1.821999192237854
17,1768430179.427929,54400,-0.03879856318235397,2.2464866638183594,0.027700811624526978,2.143632173538208
18,1768430222.929051,57600,-0.02640612982213497,2.1947152614593506,0.027700811624526978,2.143632173538208
19,1768430271.4814482,60800,-0.018357861787080765,2.1686813831329346,0.027700811624526978,2.143632173538208
20,1768430276.7297091,64000,-0.018357861787080765,2.1686813831329346,0.007035988382995129,2.224586248397827
21,1768430320.5065374,67200,-0.013272943906486034,2.418032169342041,0.007035988382995129,2.224586248397827
22,1768430367.0836627,70400,-0.0059309289790689945,2.39505672454834,0.007035988382995129,2.224586248397827
23,1768430372.0139744,73600,-0.0059309289790689945,2.39505672454834,-0.0068540191277861595,2.3906805515289307
24,1768430416.2297866,76800,0.00020778266480192542,2.3394052982330322,-0.0068540191277861595,2.3906805515289307
25,1768430465.499365,80000,0.00685157673433423,1.9876012802124023,-0.0068540191277861595,2.3906805515289307
26,1768430469.8574235,83200,0.00685157673433423,1.9876012802124023,-0.01873043179512024,2.1157491207122803
27,1768430513.3813534,86400,0.01327213179320097,2.070929765701294,-0.01873043179512024,2.1157491207122803
28,1768430561.6390543,89600,0.016221214085817337,2.0658795833587646,-0.01873043179512024,2.1157491207122803
29,1768430567.8378317,92800,0.016221214085817337,2.0658795833587646,-0.028414467349648476,2.052812099456787
30,1768430611.502943,96000,0.021377548575401306,2.1091277599334717,-0.028414467349648476,2.052812099456787
31,1768430657.9936676,99200,0.023469625040888786,2.285382032394409,-0.028414467349648476,2.052812099456787
32,1768430663.5323305,102400,0.023469625040888786,2.285382032394409,-0.036043327301740646,2.1925058364868164
33,1768430706.553369,105600,0.02560107782483101,2.1806905269622803,-0.036043327301740646,2.1925058364868164
34,1768430756.5808063,108800,0.026082828640937805,2.2738196849823,-0.036043327301740646,2.1925058364868164
35,1768430762.698626,112000,0.026082828640937805,2.2738196849823,-0.03743497654795647,2.2163608074188232
36,1768430804.5043464,115200,0.02537528984248638,2.3134765625,-0.03743497654795647,2.2163608074188232
37,1768430858.0009027,118400,0.02537528984248638,2.3134765625,-0.039234720170497894,2.157381534576416
# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1768491238.9354088,0,0.18305747210979462,2.485960006713867,0,0
1,1768491249.6507318,3200,0.14089801907539368,2.3091375827789307,0,0
2,1768491250.294252,6400,0.14089801907539368,2.3091375827789307,-0.1522950530052185,2.3706724643707275
3,1768491261.0534492,9600,0.1313292384147644,2.0939393043518066,-0.1522950530052185,2.3706724643707275
4,1768491272.3897846,12800,0.119278684258461,2.0702145099639893,-0.1522950530052185,2.3706724643707275
5,1768491273.3526025,16000,0.119278684258461,2.0702145099639893,-0.13172554969787598,2.0581061840057373
6,1768491283.7041488,19200,0.12747028470039368,2.2420592308044434,-0.13172554969787598,2.0581061840057373
7,1768491294.977623,22400,0.1349315494298935,2.1424942016601562,-0.13172554969787598,2.0581061840057373
8,1768491296.0273168,25600,0.1349315494298935,2.1424942016601562,-0.14832070469856262,2.210871934890747
9,1768491306.3379233,28800,0.129575714468956,2.2112274169921875,-0.14832070469856262,2.210871934890747
10,1768491317.6903956,32000,0.12830546498298645,2.1183087825775146,-0.14832070469856262,2.210871934890747
11,1768491319.0305073,35200,0.12830546498298645,2.1183087825775146,-0.13993987441062927,2.1501283645629883
